INSTRUMENTO,ITEM DE DESPESA,DESCRIÇÃO ITEM DE DESPESA
1190123,1.2.1,ACESSÓRIOS PARA BANHEIROS
1190123,1.2.10,CONTAÇÃO DE HISTÓRIA
1190123,1.2.11,CANTO CORAL
1190123,1.2.12,OFICINA DANÇA E FUNCIONAL
1190123,1.2.13,OFICINA FLAUTA
1190123,1.2.14,MATERIAL PARA OFICINA FUTEBOL DE CAMPO
1190123,1.2.15,MATERIAL PARA HORTO
1190123,1.2.16,OFICINA KARATÊ E MUAY THAI
1190123,1.2.17,SALA DE MÚSICA
1190123,1.2.18,OFICINA TECLADO
1190123,1.2.19,OFICINA VIOLÃO
1190123,1.2.2,"EPI’S COZINHA, CURSO DE GASTRONOMIA E DEMAIS AMBIENTES"
1190123,1.2.20,OFICINA VÔLEI
1190123,1.2.21,ALIMENTAÇÃO PARA EVENTOS
1190123,1.2.22,PRIMEIROS SOCORROS
1190123,1.2.23,UNIFORME EM GERAL
1190123,1.2.24,UTENSÍLIOS DE COZINHA
1190123,1.2.25,MATERIAIS DE UTENSÍLIOS DO CURSO DE GASTRONOMIA
1190123,1.2.26,GÁS ENGARRAFADO
1190123,1.2.27,MATERIAL PARA FESTIVIDADES;
1190123,1.2.28,MATERIAL DE COPA E COZINHA
1190123,1.2.29,MATERIAL DE PROTEÇÃO E SEGURANÇA.
1190123,1.2.3,MATERIAL DE EXPEDIENTE
1190123,1.2.30,OFICINA DE TEATRO
1190123,1.2.4,MATERIAL DE LIMPEZA
1190123,1.2.5,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1190123,1.2.6,MATERIAIS PARA REPAROS E CONSERVAÇÃO
1190123,1.2.7,MATERIAL PARA OFICINAS PEDAGÓGICAS
1190123,1.2.8,OFICINA DE BALLET
1190123,1.2.9,OFICINA DE CAPOEIRA
1190123,1.3.1,SERVIÇOS DE PEQUENOS REPAROS
1190123,1.3.10,SERVIÇO DE APOIO E INFRAESTRUTURA
1190123,1.3.11,"LOCAÇÃO DE MÁQUINAS, EQUIPAMENTOS E INFRAESTRUTURA PARA TI"
1190123,1.3.13,LOCAÇÃO DE ÔNIBUS
1190123,1.3.14,SERVIÇO DE LOCAÇÃO BRINQUEDOS DE RECREAÇÃO
1190123,1.3.2,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1190123,1.3.3,LOCAÇÃO DE VEÍCULO;
1190123,1.3.4,DEDETIZAÇÃO
1190123,1.3.5,ESGOTAMENTO DE FOSSA
1190123,1.3.6,LIMPEZA DE CAIXA D'ÁGUA
1190123,1.3.7,"PRÊMIOS, CONDECORAÇÕES, MEDALHAS E TROFÉUS"
1190123,1.3.8,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1190123,1.3.9,MONITORAMENTO ELETRÔNICO
1190123,1.4.1,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1190123,1.4.2,SERVIÇOS DE PEQUENOS REPAROS
1190123,1.4.3,BENEFÍCIO ASSISTENCIAL PARA MONITORAMENTO DAS ATIVIDADES - (22 BOLSISTAS)
1190123,1.5.1,EQUIPAMENTO E PERMANENTE GERAL
1190123,1.5.2,SALA DE MÚSICA
1190123,1.5.3,MATERIAL – HORTA
1190123,1.6.2,SERVIÇOS TÉCNICOS PROFISSIONAIS
1190123,1.6.3,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1190123,1.6.4,LOCAÇÃO DE VEÍCULO
1190123,1.6.5,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1190123,1.6.6,"MATERIAL PARA LIMPEZA, CONSERVAÇÃO E HIGIENE"
1190123,1.6.7,SERVIÇOS DE PEQUENOS REPAROS
1190123,1.7.1,DIÁRIA DENTRO DO ESTADO
1190123,1.7.2,DIÁRIA FORA DO ESTADO
1202581,1.2.1,ACESSÓRIOS PARA BANHEIROS
1202581,1.2.10,CONTAÇÃO DE HISTÓRIA
1202581,1.2.11,CANTO CORAL
1202581,1.2.12,OFICINA DANÇA FUNCIONAL
1202581,1.2.13,OFICINA FLAUTA
1202581,1.2.14,MATERIAL PARA OFICINA FUTEBOL DE CAMPO
1202581,1.2.15,MATERIAL PARA HORTO
1202581,1.2.16,OFICINA DE ARTES MARCIAIS JIU JITSU
1202581,1.2.17,SALA DE MÚSICA
1202581,1.2.18,OFICINA TECLADO
1202581,1.2.19,OFICINA VIOLÃO
1202581,1.2.2,"EPI’S COZINHA, CURSO DE GASTRONOMIA E DEMAIS AMBIENTES"
1202581,1.2.20,OFICINA VÔLEI E HANDEBOL
1202581,1.2.21,ALIMENTAÇÃO PARA EVENTOS
1202581,1.2.22,PRIMEIROS SOCORROS
1202581,1.2.23,UNIFORME EM GERAL
1202581,1.2.24,UTENSÍLIOS DE COZINHA
1202581,1.2.25,MATERIAIS E UTENSÍLIOS DO CURSO DE GASTRONOMIA
1202581,1.2.26,FORNECIMENTO DE ÁGUA
1202581,1.2.27,GÁS DE ENGARRAFADO
1202581,1.2.28,GÊNEROS ALIMENTÍCIOS
1202581,1.2.29,FUTEBOL DE SALÃO
1202581,1.2.3,MATERIAL DE EXPEDIENTE
1202581,1.2.30,MATERIAL PARA FESTIVIDADES;
1202581,1.2.31,MATERIAL DE COPA E COZINHA
1202581,1.2.32,MATERIAL DE PROTEÇÃO E SEGURANÇA
1202581,1.2.33,OFICINA DE TEATRO
1202581,1.2.34,OUTROS MATERIAIS DE CONSUMO
1202581,1.2.4,MATERIAL DE LIMPEZA
1202581,1.2.5,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1202581,1.2.6,MATERIAIS PARA REPAROS E CONSERVAÇÃO
1202581,1.2.7,MATERIAL PARA OFICINAS PEDAGÓGICAS
1202581,1.2.8,OFICINA DE BALLET
1202581,1.2.9,OFICINA DE CAPOEIRA
1202581,1.3.1,SERVIÇOS DE PEQUENOS REPAROS
1202581,1.3.10,SERVIÇO DE APOIO E INFRAESTRUTURA
1202581,1.3.11,"LOCAÇÃO DE MÁQUINAS, EQUIPAMENTOS E INFRAESTRUTURA PARA TI"
1202581,1.3.13,LOCAÇÃO DE ÔNIBUS
1202581,1.3.14,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1202581,1.3.15,SERVIÇO DE LOCAÇÃO BRINQUEDOS DE RECREAÇÃO
1202581,1.3.2,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1202581,1.3.3,LOCAÇÃO DE VEÍCULO
1202581,1.3.4,DEDETIZAÇÃO
1202581,1.3.5,ESGOTAMENTO DE FOSSA
1202581,1.3.6,LIMPEZA DE CAIXA D'ÁGUA
1202581,1.3.7,"PRÊMIOS, CONDECORAÇÕES, MEDALHAS E TROFÉUS"
1202581,1.3.8,MONITORAMENTO ELETRÔNICO
1202581,1.3.9,RECOLHIMENTO DE COTA PATRONAL 20%
1202581,1.4.1,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1202581,1.4.2,SERVIÇOS DE PEQUENOS REPAROS
1202581,1.5.1,EQUIPAMENTO E PERMANENTE GERAL
1202581,1.5.2,SALA DE MÚSICA
1202581,1.5.3,MATERIAL – HORTO
1202581,1.6.1,DIÁRIA DENTRO DO ESTADO
1202581,1.6.2,DIÁRIA FORA DO ESTADO
1202581,1.7.2,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1202581,1.7.3,LOCAÇÃO DE VEÍCULO
1202581,1.7.4,SERVIÇOS DE PEQUENOS REPAROS
1202581,1.7.5,"MATERIAL PARA LIMPEZA, CONSERVAÇÃO E HIGIENE"
1202581,1.7.6,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1220963,1.2.1,DIÁRIA DENTRO DO ESTADO
1220963,1.3.1,LOCAÇÃO DE VEICULO
1220963,1.3.3,SERVIÇO DE COMUNICAÇÃO EM GERAL
1220963,1.3.4,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1220963,1.3.5,SERVIÇOS DE PEQUENOS REPAROS
1220963,1.3.6,SERVIÇO DE APOIO E INFRAESTRUTURA
1220963,1.3.7,CONFECÇÃO DE UNIFORMES
1220963,1.3.8,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1220963,1.3.9,SERVIÇO DE REDE DE INTERNET (WIFI)
1220963,1.4.1,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1220963,1.4.2,MATERIAL DIDÁTICO E PEDAGOGICO
1220963,1.4.3,"MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE"
1220963,1.4.4,MATERIAL DE COPA E COZINHA
1220963,1.4.5,GÁS DE COZINHA
1220963,1.4.6,GÊNEROS ALIMENTÍCIOS
1220963,1.4.7,MATERIAL DE PROTEÇÃO E SEGURANÇA
1220963,1.5.1,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1220963,1.5.2,LOCAÇÃO DE VEICULO
1220963,1.5.3,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1238489,1.2.1,DIÁRIA DENTRO DO ESTADO
1238489,1.3.1,"CONTAS PÚBLICAS (ENERGIA, ÁGUA, TELEFONE E INTERNET)"
1238489,1.3.2,LOCAÇÃO DE VEÍCULO
1238489,1.3.4,SERVIÇO DE COMUNICAÇÃO EM GERAL
1238489,1.3.5,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1238489,1.3.6,SERVIÇOS DE PEQUENOS REPAROS
1238489,1.3.7,SERVIÇO DE APOIO E INFRAESTRUTURA
1238489,1.3.8,CONFECÇÃO DE UNIFORMES
1238489,1.3.9,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1238489,1.4.1,LOCAÇÃO DE IMÓVEL
1238489,1.5.1,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1238489,1.5.2,MATERIAL DIDÁTICO E PEDAGÓGICO
1238489,1.5.3,"MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE"
1238489,1.5.4,MATERIAL DE COPA E COZINHA
1238489,1.5.5,GÁS DE COZINHA
1238489,1.5.6,GÊNEROS ALIMENTÍCIOS
