INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,ITEM,DESCRIÇÃO
1404999,27/2025,ABC CAJUEIRO TORTO,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, valetransporte e vale-refeição)"
1404999,27/2025,ABC CAJUEIRO TORTO,1.2.1,Locação de veículo;
1404999,27/2025,ABC CAJUEIRO TORTO,1.2.2,"Prêmios, condecorações, medalhas e troféus;"
1404999,27/2025,ABC CAJUEIRO TORTO,1.2.3,Remuneração de serviços de natureza eventual;
1404999,27/2025,ABC CAJUEIRO TORTO,1.2.4,Remuneração de serviços de natureza eventual na área técnica e operacional (MEI);
1404999,27/2025,ABC CAJUEIRO TORTO,1.2.5,Serviço de confecção de material personalizado para eventos;
1404999,27/2025,ABC CAJUEIRO TORTO,1.2.6,"Serviços gráficos, reprográficos e de serigrafia;"
1404999,27/2025,ABC CAJUEIRO TORTO,1.2.7,Serviços de pequenos reparos e adaptação de bens móveis e imóveis;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.1,Gás engarrafado para cozinha;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.2,Gêneros alimentícios;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.3,"Material de expediente, didático, pedagógico, material de tecnologia da informação e suprimento de informática;"
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.4,Material para cenários e figurinos para eventos culturais;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.5,"Material para conservação, limpeza e higiene;"
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.6,"Material recreativo, esportivo e de arte;"
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.7,Material para primeiros socorros;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.8,Material para pequenos reparos e conservação de bens móveis e imóveis;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.9,Material para festividades;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.10,Utensílios de copa e cozinha;
1404999,27/2025,ABC CAJUEIRO TORTO,1.3.11,Vestuário e uniformes em geral;
1404999,27/2025,ABC CAJUEIRO TORTO,1.4.1,Equipamento e Material Permanente;
1404999,27/2025,ABC CAJUEIRO TORTO,1.5.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, valetransporte e vale-refeição)"
1404999,27/2025,ABC CAJUEIRO TORTO,1.5.2,"Material de expediente, didático, pedagógico, material de tecnologia da informação e suprimento de informática;"
1404996,34/2025,ABC MONDUBIM,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, valetransporte e vale-refeição)."
1404996,34/2025,ABC MONDUBIM,1.2.1,Locação de veículo;
1404996,34/2025,ABC MONDUBIM,1.2.2,"Prêmios, condecorações, medalhas e troféus;"
1404996,34/2025,ABC MONDUBIM,1.2.3,Remuneração de serviços de natureza eventual;
1404996,34/2025,ABC MONDUBIM,1.2.4,Remuneração de serviços de natureza eventual na área técnica e operacional (MEI);
1404996,34/2025,ABC MONDUBIM,1.2.5,Serviço de confecção de material personalizado para eventos;
1404996,34/2025,ABC MONDUBIM,1.2.6,"Serviços gráficos, reprográficos e de serigrafia;"
1404996,34/2025,ABC MONDUBIM,1.2.7,Serviços de pequenos reparos e adaptação de bens móveis e imóveis.
1404996,34/2025,ABC MONDUBIM,1.3.1,Gás engarrafado para cozinha;
1404996,34/2025,ABC MONDUBIM,1.3.2,Gêneros alimentícios;
1404996,34/2025,ABC MONDUBIM,1.3.3,"Material de expediente, didático, pedagógico, material de tecnologia da informação e suprimento de informática;"
1404996,34/2025,ABC MONDUBIM,1.3.4,Material para cenários e figurinos para eventos culturais;
1404996,34/2025,ABC MONDUBIM,1.3.5,"Material para conservação, limpeza e higiene;"
1404996,34/2025,ABC MONDUBIM,1.3.6,"Material recreativo, esportivo e de arte;"
1404996,34/2025,ABC MONDUBIM,1.3.7,Material para primeiros socorros;
1404996,34/2025,ABC MONDUBIM,1.3.8,Material para pequenos reparos e conservação de bens móveis e imóveis;
1404996,34/2025,ABC MONDUBIM,1.3.9,Material para festividades;
1404996,34/2025,ABC MONDUBIM,1.3.10,Utensílios de copa e cozinha;
1404996,34/2025,ABC MONDUBIM,1.3.11,Vestuário e uniformes em geral.
1404996,34/2025,ABC MONDUBIM,1.4.1,Equipamento e Material Permanente.
1404996,34/2025,ABC MONDUBIM,1.5.1,"Serviços gráficos, reprográficos e de serigrafia;"
1404996,34/2025,ABC MONDUBIM,1.5.2,"Serviços técnicos profissionais (Assessoria Contábil, Assessoria Jurídica e outros);"
1404996,34/2025,ABC MONDUBIM,1.5.3,"Material de expediente, didático, pedagógico, material de tecnologia da informação e suprimento de informática."
1404986,28/2025,ABC SERRINHA,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, valetransporte e vale-refeição)"
1404986,28/2025,ABC SERRINHA,1.2.1,Locação de veículo;
1404986,28/2025,ABC SERRINHA,1.2.2,"Prêmios, condecorações, medalhas e troféus;"
1404986,28/2025,ABC SERRINHA,1.2.3,Remuneração de serviços de natureza eventual;
1404986,28/2025,ABC SERRINHA,1.2.4,Remuneração de serviços de natureza eventual na área técnica e operacional (MEI);
1404986,28/2025,ABC SERRINHA,1.2.5,Serviço de confecção de material personalizado para eventos;
