INSTRUMENTO,NÚMERO DO TERMO,TERMO DE COLABORAÇÃO,VALOR DO PLANO DE TRABALHO,DATA CELEBRAÇÃO,VIGÊNCIA,STATUS
1405863,68/2025,ESPAÇO DE VIDA ARTE EDUCAÇÃO - CASA CIVIL,"R$ 200.000,00",04/11/2025,12/04/2026,EM EXECUÇÃO - NORMAL
1404986,28/2025,ABC SERRINHA,"R$ 945.776,40",03/11/2025,31/10/2026,EM EXECUÇÃO - NORMAL
1404999,27/2025,ABC CAJUEIRO TORTO,"R$ 945.776,40",03/11/2025,31/10/2026,EM EXECUÇÃO - NORMAL
1404996,34/2025,ABC MONDUBIM,"R$ 945.776,40",03/11/2025,31/10/2026,EM EXECUÇÃO - NORMAL
1378187,22/2025,CRIANÇA FELIZ,"R$ 1.300.000,00",25/06/2025,30/06/2026,EM EXECUÇÃO - NORMAL
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,"R$ 1.535.569,05",27/03/2025,30/11/2026,EM EXECUÇÃO - NORMAL
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,"R$ 1.297.581,01",08/01/2025,31/12/2025,EM EXECUÇÃO - NORMAL
1247749,25/2022,COMPLEXO SOCIAL MAIS INFÂNCIA CURIÓ,"R$ 8.333.096,60",30/11/2022,31/12/2025,EM EXECUÇÃO - NORMAL
1238489,12/2022,CREAS CARIRI FORTALEZA,"R$ 13.774.813,32",05/10/2022,31/12/2026,EM EXECUÇÃO - NORMAL
1238520,11/2022,GESTÃO,"R$ 11.402.710,68",04/10/2022,31/12/2026,EM EXECUÇÃO - NORMAL
1220963,10/2022,CREAS JAGUARIBE,"R$ 5.097.846,55",24/06/2022,31/12/2026,EM EXECUÇÃO - NORMAL
1202581,02/2022,COMPLEXO SOCIAL MAIS INFÂNCIA BARBALHA,"R$ 11.719.910,16",14/03/2022,31/12/2025,EM EXECUÇÃO - NORMAL
1190123,06/2021,COMPLEXO SOCIAL MAIS INFÂNCIA CRISTO REDENTOR,"R$ 11.615.533,35",04/11/2021,31/12/2025,EM EXECUÇÃO - NORMAL
