TERMO DE COLABORAÇÃO,COMPETÊNCIA,ITEM,RÚBRICA,CUSTO DIRETO,NF,EMPRESA,STATUS,PAGAMENTO
68/2025 - CASA CIVIL,JANEIRO,,MATERIAL DE EXPEDIENTE,"R$ 865,61",6073,FORTAL,PAGA,30/01/2026
68/2025 - CASA CIVIL,JANEIRO,,MATERIAL DE COPA E COZINHA,"R$ 183,72",540,R&R,PAGA,30/01/2026
68/2025 - CASA CIVIL,JANEIRO,,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 889,65",6071,FORTAL,PAGA,30/01/2026
68/2025 - CASA CIVIL,JANEIRO,,SERVIÇO DE COMUNICAÇÃO EM GERAL,"R$ 936,00",59,KM SERVIÇOS,PAGA,30/01/2026
68/2025 - CASA CIVIL,FEVEREIRO,,GÊNEROS ALIMENTÍCIOS,"R$ 10.075,12",106,AVANTI,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,GÊNEROS ALIMENTÍCIOS,"R$ 1.590,64",37006,CCPF,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,MATERIAL EDUCATIVO E ESPORTIVO,"R$ 1.196,23",6072,FORTAL,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,GÊNEROS ALIMENTÍCIOS,"R$ 9.134,25",144,AVANTI,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,GÊNEROS ALIMENTÍCIOS,"R$ 1.590,64",37310,CCPF,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,MATERIAL DE EXPEDIENTE,"R$ 581,05",6182,FORTAL,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,MATERIAL EDUCATIVO E ESPORTIVO,"R$ 916,84",6183,FORTAL,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,MATERIAL DE COPA E COZINHA,"R$ 194,50",575,R&R,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 535,62",6184,FORTAL,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,"UNIFORMES, TECIDOS E AVIAMENTOS","R$ 21.680,00",576,R&R,FATURADA,
68/2025 - CASA CIVIL,FEVEREIRO,,SERVIÇO DE COMUNICAÇÃO EM GERAL,"R$ 513,00",67,KM SERVIÇOS,FATURADA,
27/2025 - ABC CAJUEIRO TORTO,JANEIRO,1.2.2006,SERVIÇOS GRÁFICOS,"R$ 172,68",61,KM SERVIÇOS,PAGA,28/01/2026
27/2025 - ABC CAJUEIRO TORTO,JANEIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 8.003,88",99,AVANTI,PAGA,23/01/2026
27/2025 - ABC CAJUEIRO TORTO,JANEIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37037,CCPF,PAGA,23/01/2026
27/2025 - ABC CAJUEIRO TORTO,JANEIRO,1.3.2005,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 306,43",544,R&R,PAGA,23/01/2026
27/2025 - ABC CAJUEIRO TORTO,JANEIRO,1.3.11,VESTUÁRIO E UNIFORME EM GERAL,"R$ 1.152,00",556,R&R,PAGA,28/01/2026
27/2025 - ABC CAJUEIRO TORTO,FEVEREIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 7.572,84",147,AVANTI,FATURADA,
27/2025 - ABC CAJUEIRO TORTO,FEVEREIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37318,CCPF,FATURADA,
27/2025 - ABC CAJUEIRO TORTO,FEVEREIRO,1.3.2003,MATERIAL DE EXPEDIENTE,"R$ 4.059,60",6179,FORTAL,FATURADA,
27/2025 - ABC CAJUEIRO TORTO,FEVEREIRO,1.3.2005,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 186,83",577,R&R,FATURADA,
28/2025 - ABC SERRINHA,JANEIRO,1.2.2006,SERVIÇOS GRÁFICOS,"R$ 172,68",60,KM SERVIÇOS,PAGA,28/01/2026
28/2025 - ABC SERRINHA,JANEIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 8.003,88",100,AVANTI,PAGA,23/01/2026
28/2025 - ABC SERRINHA,JANEIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37045,CCPF,PAGA,23/01/2026
28/2025 - ABC SERRINHA,JANEIRO,1.3.2005,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 306,43",543,R&R,PAGA,23/01/2026
28/2025 - ABC SERRINHA,JANEIRO,1.3.11,VESTUÁRIO E UNIFORME EM GERAL,"R$ 1.152,00",557,R&R,PAGA,28/01/2026
28/2025 - ABC SERRINHA,FEVEREIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 7.572,84",142,AVANTI,FATURADA,
28/2025 - ABC SERRINHA,FEVEREIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37314,CCPF,FATURADA,
28/2025 - ABC SERRINHA,FEVEREIRO,1.3.2003,MATERIAL DE EXPEDIENTE,"R$ 4.059,60",6181,FORTAL,FATURADA,
28/2025 - ABC SERRINHA,FEVEREIRO,1.3.2005,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 186,83",579,R&R,FATURADA,
34/2025 - ABC MONDUBIM,JANEIRO,1.2.2006,SERVIÇOS GRÁFICOS,"R$ 172,68",62,KM SERVIÇOS,PAGA,29/01/2026
34/2025 - ABC MONDUBIM,JANEIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 8.003,88",98,AVANTI,PAGA,23/01/2026
34/2025 - ABC MONDUBIM,JANEIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37041,CCPF,PAGA,23/01/2026
