INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,MÊS COMPETÊNCIA,ANO COMPETÊNCIA,ITEM,DESCRIÇÃO,VALOR,NF,EMPRESA,STATUS,DATA PGTO
1404999,27/2025,ABC CAJUEIRO TORTO,JANEIRO,2026,1.2.6,SERVIÇOS GRÁFICOS,"R$ 172,68",61.0,KM SERVIÇOS,PAGA,28/01/2026
1404999,27/2025,ABC CAJUEIRO TORTO,JANEIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 8.003,88",99.0,AVANTI,PAGA,23/01/2026
1404999,27/2025,ABC CAJUEIRO TORTO,JANEIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37037.0,CCPF,PAGA,23/01/2026
1404999,27/2025,ABC CAJUEIRO TORTO,JANEIRO,2026,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 306,43",544.0,R&R,PAGA,23/01/2026
1404999,27/2025,ABC CAJUEIRO TORTO,JANEIRO,2026,1.3.11,VESTUÁRIO E UNIFORME EM GERAL,"R$ 1.152,00",556.0,R&R,PAGA,28/01/2026
1404999,27/2025,ABC CAJUEIRO TORTO,FEVEREIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 7.572,84",147.0,AVANTI,PAGA,19/02/2026
1404999,27/2025,ABC CAJUEIRO TORTO,FEVEREIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37318.0,CCPF,PAGA,19/02/2026
1404999,27/2025,ABC CAJUEIRO TORTO,FEVEREIRO,2026,1.3.3,MATERIAL DE EXPEDIENTE,"R$ 4.059,60",6179.0,FORTAL,PAGA,19/02/2026
1404999,27/2025,ABC CAJUEIRO TORTO,FEVEREIRO,2026,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 186,83",577.0,R&R,PAGA,19/02/2026
1404986,28/2025,ABC SERRINHA,JANEIRO,2026,1.2.6,SERVIÇOS GRÁFICOS,"R$ 172,68",60.0,KM SERVIÇOS,PAGA,28/01/2026
1404986,28/2025,ABC SERRINHA,JANEIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 8.003,88",100.0,AVANTI,PAGA,23/01/2026
1404986,28/2025,ABC SERRINHA,JANEIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37045.0,CCPF,PAGA,23/01/2026
1404986,28/2025,ABC SERRINHA,JANEIRO,2026,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 306,43",543.0,R&R,PAGA,23/01/2026
1404986,28/2025,ABC SERRINHA,JANEIRO,2026,1.3.11,VESTUÁRIO E UNIFORME EM GERAL,"R$ 1.152,00",557.0,R&R,PAGA,28/01/2026
1404986,28/2025,ABC SERRINHA,FEVEREIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 7.572,84",142.0,AVANTI,PAGA,20/02/2026
1404986,28/2025,ABC SERRINHA,FEVEREIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37314.0,CCPF,PAGA,20/02/2026
1404986,28/2025,ABC SERRINHA,FEVEREIRO,2026,1.3.3,MATERIAL DE EXPEDIENTE,"R$ 4.059,60",6181.0,FORTAL,PAGA,20/02/2026
1404986,28/2025,ABC SERRINHA,FEVEREIRO,2026,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 186,83",579.0,R&R,PAGA,20/02/2026
1404996,34/2025,ABC MONDUBIM,JANEIRO,2026,1.2.6,SERVIÇOS GRÁFICOS,"R$ 172,68",62.0,KM SERVIÇOS,PAGA,29/01/2026
1404996,34/2025,ABC MONDUBIM,JANEIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 8.003,88",98.0,AVANTI,PAGA,23/01/2026
1404996,34/2025,ABC MONDUBIM,JANEIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37041.0,CCPF,PAGA,23/01/2026
1404996,34/2025,ABC MONDUBIM,JANEIRO,2026,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 306,43",542.0,R&R,PAGA,23/01/2026
1404996,34/2025,ABC MONDUBIM,JANEIRO,2026,1.3.11,VESTUÁRIO E UNIFORME EM GERAL,"R$ 1.152,00",558.0,R&R,PAGA,28/01/2026
1404996,34/2025,ABC MONDUBIM,FEVEREIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 7.572,84",143.0,AVANTI,PAGA,20/02/2026
1404996,34/2025,ABC MONDUBIM,FEVEREIRO,2026,1.3.2,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37322.0,CCPF,PAGA,20/02/2026
1404996,34/2025,ABC MONDUBIM,FEVEREIRO,2026,1.3.3,MATERIAL DE EXPEDIENTE,"R$ 2.446,74",6180.0,FORTAL,PAGA,20/02/2026
1404996,34/2025,ABC MONDUBIM,FEVEREIRO,2026,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 186,83",578.0,R&R,PAGA,20/02/2026
1404996,34/2025,ABC MONDUBIM,FEVEREIRO,2026,1.3.9,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 1.197,71",146.0,ARRUDA,PAGA,20/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.2,MATERIAL DE EXPEDIENTE,"R$ 2.318,37",6106.0,FORTAL,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.2,MATERIAL DE EXPEDIENTE,"R$ 977,56",6107.0,FORTAL,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.3,MATERIAL DE LIMPEZA,"R$ 3.421,36",564.0,R&R,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.3,MATERIAL DE LIMPEZA,"R$ 881,54",563.0,R&R,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.5,UTENSÍLIOS DE COZINHA,"R$ 71,80",566.0,R&R,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 2.403,65",126.0,AVANTI,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 179,70",37193.0,CCPF,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 200,10",129.0,AVANTI,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 340,09",127.0,AVANTI,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 575,90",37195.0,CCPF,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.14,MATERIAL DE PROTEÇÃO E SEGURANÇA,"R$ 131,60",128.0,AVANTI,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,JANEIRO,2026,1.3.16,MATERIAL EDUCATIVO E ESPORTIVO,"R$ 263,60",6105.0,FORTAL,PAGA,04/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,FEVEREIRO,2026,1.3.3,MATERIAL DE LIMPEZA,"R$ 999,92",591.0,R&R,PAGA,23/02/2026
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,FEVEREIRO,2026,1.3.17,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 1.291,60",138.0,ARRUDA,PAGA,13/02/2026
